,Small-Low,Small-High,Big-Low,Big-High,Market ,Riskfree Rate
195605,-3.40,-4.50,-5.08,-6.63,-4.97,0.23
195606,1.01,1.31,4.68,1.75,3.68,0.2
195607,3.32,3.47,5.08,4.91,5.06,0.22
195608,-0.28,-2.12,-3.54,-3.12,-3.01,0.17
195609,-3.41,-2.12,-5.96,-3.68,-4.96,0.18
195610,1.20,0.41,0.68,1.34,0.77,0.25
195611,-0.32,2.24,-0.39,0.60,0.56,0.2
195612,4.28,2.22,3.81,1.66,3.4,0.24
195701,-0.75,2.04,-4.46,-1.69,-3.31,0.27
195702,-2.82,-2.72,-1.53,-3.09,-1.82,0.24
195703,2.22,2.27,2.72,1.72,2.36,0.23
195704,2.30,2.24,5.60,2.63,4.51,0.25
195705,2.93,1.73,4.75,1.84,3.71,0.26
195706,0.11,0.74,-0.11,-0.73,-0.5,0.24
195707,-0.53,0.43,1.28,1.09,0.96,0.3
195708,-4.90,-5.19,-5.45,-6.06,-4.86,0.25
195709,-7.08,-5.05,-6.33,-6.60,-5.72,0.26
195710,-8.11,-8.26,-3.77,-7.29,-4.03,0.29
195711,3.23,1.09,3.10,-0.56,2.58,0.28
195712,-4.47,-5.87,-3.92,-5.94,-3.67,0.24
195801,12.18,11.92,3.40,12.12,4.94,0.28
195802,-1.64,-0.50,-1.80,-2.39,-1.4,0.12
195803,4.95,3.11,3.41,3.40,3.36,0.09
195804,3.29,4.32,3.33,5.23,3.17,0.08
195805,6.54,4.26,2.07,3.65,2.42,0.11
195806,1.95,2.99,3.14,3.11,2.96,0.03
195807,4.22,7.10,4.39,7.75,4.46,0.07
195808,4.36,3.16,1.71,3.49,1.95,0.04
195809,5.51,7.97,4.76,8.22,4.85,0.19
195810,6.95,3.08,2.63,4.13,2.71,0.18
195811,7.68,4.05,3.35,4.40,3.12,0.11
195812,2.76,3.67,4.98,3.97,5.37,0.22
195901,4.47,5.68,-0.62,4.14,0.92,0.21
195902,2.42,2.77,0.53,2.28,1.14,0.19
195903,1.61,1.71,0.72,-0.09,0.5,0.22
195904,3.79,2.16,4.73,3.92,3.86,0.2
195905,-1.40,1.43,2.73,3.65,1.95,0.22
195906,1.73,1.88,-0.37,2.14,0,0.25
195907,2.12,3.55,3.99,3.08,3.42,0.25
195908,-1.90,-1.98,-1.35,-0.38,-1.2,0.19
195909,-5.41,-3.97,-5.03,-5.32,-4.49,0.31
195910,3.90,1.11,1.45,0.13,1.58,0.3
195911,3.89,0.53,3.01,-0.17,1.86,0.26
195912,3.34,2.09,2.98,4.16,2.79,0.34
196001,-5.79,-2.94,-8.21,-5.59,-6.65,0.33
196002,2.08,0.50,1.31,-1.09,1.46,0.29
196003,-2.34,-3.83,-0.88,-5.10,-1.28,0.35
196004,0.05,-2.96,-1.57,-3.01,-1.52,0.19
196005,5.30,2.37,4.31,-0.27,3.39,0.27
196006,2.35,1.43,2.57,2.80,2.32,0.24
196007,-3.36,-1.45,-3.48,-1.33,-2.24,0.13
196008,4.15,4.21,2.74,2.31,3.18,0.17
196009,-7.71,-6.09,-6.74,-5.20,-5.83,0.16
196010,-6.44,-2.78,-0.61,0.92,-0.49,0.22
196011,6.47,3.00,5.42,3.98,4.82,0.13
196012,4.13,2.40,3.56,3.71,4.87,0.16
196101,7.33,9.60,4.92,10.05,6.39,0.19
196102,7.96,7.39,4.04,3.13,3.71,0.14
196103,7.35,5.92,2.17,2.06,3.09,0.2
196104,1.04,2.29,-0.32,2.54,0.46,0.17
196105,3.49,4.85,3.20,2.80,2.58,0.18
196106,-5.82,-5.51,-2.27,-2.95,-2.88,0.2
196107,-0.45,1.29,3.14,1.11,3.01,0.18
196108,0.62,1.11,3.21,2.32,2.71,0.14
196109,-4.92,-3.23,-1.15,-3.78,-1.98,0.17
196110,-0.09,0.27,2.31,3.13,2.76,0.19
196111,5.88,4.75,4.87,4.24,4.6,0.15
196112,-2.04,0.37,-0.21,1.79,0.01,0.19
196201,-2.39,2.21,-5.00,0.36,-3.63,0.24
196202,0.63,1.79,1.87,2.49,2.01,0.2
196203,-0.45,-0.63,-0.35,-2.17,-0.48,0.2
196204,-7.22,-6.78,-6.63,-6.12,-6.37,0.22
196205,-11.33,-9.55,-9.09,-6.22,-8.41,0.24
196206,-10.29,-7.07,-9.01,-6.65,-8.27,0.2
196207,9.30,6.54,8.07,3.59,6.55,0.27
196208,4.63,2.47,2.74,2.45,2.36,0.23
196209,-8.22,-6.23,-5.03,-4.40,-5.01,0.21
196210,-5.08,-2.08,0.61,0.32,0.2,0.25
196211,14.87,14.40,11.29,13.85,11.07,0.2
196212,-3.59,-2.18,1.54,0.80,1.24,0.23
196301,7.75,9.87,4.91,7.22,5.18,0.25
196302,-2.62,0.01,-2.80,-0.95,-2.15,0.23
196303,0.29,2.40,3.41,5.18,3.31,0.23
196304,3.62,4.87,4.94,5.75,4.76,0.25
196305,1.65,5.42,2.28,3.67,2,0.24
